book_id,title,cat_id,author,date,price,stock
B1001,たのしく学ぶSQLコマンド,C01,鈴木正男,2001-05-03,1800,120.0
B1002,はじめてのDB設計,C01,鈴木正子,2001-10-21,2000,88.0
B1003,ウォーキングをはじめよう,C05,高橋孝子,2002-09-05,980,15.0
B1004,ネットワーク構築入門,C01,山田和夫,2004-08-04,2200,56.0
B1005,成功する人の108の習慣,C02,高橋太郎,2008-03-03,1500,2.0
B1006,おてがるレシピ,C05,佐藤茂夫,2012-04-11,880,66.0
B1007,みきむら先生の基本情報技術教本,C03,三木村健,2016-08-24,1800,32.0
B1008,Computer Networks,C01,Robert Smith,2018-05-05,2100,25.0
B1009,SQL Handbook,C01,John Doe,2021-12-01,2600,43.0
B1010,風景画を描いてみよう,,田中十郎,,1500,
